Sec,Queue,Dynamic
0,9.208152,46.040760
0.066667,9.208152,46.040760
0.133333,9.208152,46.040760
0.200000,9.208152,46.040760
0.266667,9.208152,46.040760
0.333333,9.208152,46.040760
0.400000,9.208152,46.040760
0.466667,9.208152,46.040760
0.533333,9.208152,46.040760
0.600000,9.208152,46.040760
0.666667,9.208152,46.040760
0.733333,9.208152,46.040760
0.800000,9.208152,46.040760
0.866667,9.208152,46.040760
0.933333,9.208152,46.040760
1.000000,9.208152,46.040760
1.066667,9.208152,46.040760
1.133333,9.208152,46.040760
1.200000,9.208152,46.040760
1.266667,9.208152,46.040760
1.333333,9.208152,46.040760
1.400000,9.208152,46.040760
1.466667,9.208152,46.040760
1.533333,9.208152,46.040760
1.600000,9.208152,46.040760
1.666667,9.208152,46.040760
1.733333,9.208152,46.040760
1.800000,9.208152,46.040760
1.866667,9.208152,46.040760
1.933333,9.208152,46.040760
2.000000,9.208152,46.040760
2.066667,9.208152,46.040760
2.133333,9.208152,46.040760
2.200000,9.208152,46.040760
2.266667,9.208152,46.040760
2.333333,9.208152,46.040760
2.400000,9.208152,46.040760
2.466667,9.208152,46.040760
2.533333,9.208152,46.040760
2.600000,9.208152,46.040760
2.666667,9.208152,46.040760
2.733333,9.208152,46.040760
2.800000,9.208152,46.040760
2.866667,9.208152,46.040760
2.933333,9.208152,46.040760
3.000000,9.208152,46.040760
3.066667,9.208152,46.040760
3.133333,9.208152,46.040760
3.200000,9.208152,46.040760
3.266667,9.208152,46.040760
3.333333,9.208152,46.040760
3.400000,9.208152,46.040760
3.466667,9.208152,46.040760
3.533333,9.208152,46.040760
3.600000,9.208152,46.040760
3.666667,9.208152,46.040760
3.733333,9.208152,46.040760
3.800000,9.208152,46.040760
3.866667,9.208152,46.040760
3.933333,9.208152,46.040760
4.000000,9.208152,46.040760
4.066667,9.208152,46.040760
4.133333,9.208152,46.040760
4.200000,9.208152,46.040760
4.266667,9.208152,46.040760
4.333333,9.208152,46.040760
4.400000,9.208152,46.040760
4.466667,9.208152,46.040760
4.533333,9.208152,46.040760
4.600000,9.208152,46.040760
4.666667,9.208152,46.040760
4.733333,9.208152,46.040760
4.800000,9.208152,46.040760
4.866667,9.208152,46.040760
4.933333,9.208152,46.040760
5.000000,9.208152,46.040760
5.066667,9.208152,46.040760
5.133333,9.208152,46.040760
5.200000,9.208152,46.040760
5.266667,9.208152,46.040760
5.333333,9.208152,46.040760
5.400000,9.208152,46.040760
5.466667,9.208152,46.040760
5.533333,9.208152,46.040760
5.600000,9.208152,46.040760
5.666667,9.208152,46.040760
5.733333,9.208152,46.040760
5.800000,9.208152,46.040760
5.866667,9.208152,46.040760
5.933333,9.208152,46.040760
6.000000,9.208152,46.040760
6.066667,9.208152,46.040760
6.133333,9.208152,46.040760
6.200000,9.208152,46.040760
6.266667,9.208152,46.040760
6.333333,9.208152,46.040760
6.400000,9.208152,46.040760
6.466667,9.208152,46.040760
6.533333,9.208152,46.040760
6.600000,9.208152,46.040760
6.666667,9.208152,46.040760
6.733333,9.208152,46.040760
6.800000,9.208152,46.040760
6.866667,9.208152,46.040760
6.933333,9.208152,46.040760
7.000000,9.208152,46.040760
7.066667,9.208152,46.040760
7.133333,9.208152,46.040760
7.200000,9.208152,46.040760
