Sec,Queue,Dynamic
0,9.208152,46.040760
0.066667,8.664288,12.895860
0.133333,8.513736,7.487820
0.200000,8.199168,10.582500
0.266667,8.380728,11.817720
0.333333,8.523528,5.938440
0.400000,8.839116,10.729380
0.466667,8.996604,11.291400
0.533333,9.034752,5.104080
0.600000,9.063720,12.555180
0.666667,9.376248,12.185940
0.733333,9.458052,7.090020
0.800000,9.608808,11.222040
0.866667,9.724680,11.143500
0.933333,9.764664,6.814620
1.000000,9.926028,10.949700
1.066667,9.987840,10.574340
1.133333,10.070052,7.094100
1.200000,10.235292,10.036800
1.266667,9.994572,10.213260
1.333333,10.112688,6.893160
1.400000,10.157976,10.365240
1.466667,10.247736,10.290780
1.533333,10.346472,6.762600
1.600000,10.395840,10.102080
1.666667,10.588008,10.428480
1.733333,10.630848,6.728940
1.800000,10.884216,10.946640
1.866667,11.205108,11.080260
1.933333,11.358312,6.900300
2.000000,11.560884,11.538240
2.066667,11.667168,11.595360
2.133333,11.722860,7.165500
2.200000,11.712048,11.228160
2.266667,11.768760,11.093520
2.333333,11.772840,7.148160
2.400000,11.830164,10.342800
2.466667,11.831388,9.983760
2.533333,11.870352,7.103280
2.600000,11.913192,9.830760
2.666667,11.891160,9.255480
2.733333,11.886876,6.692220
2.800000,11.944200,8.803620
2.866667,11.941956,8.712840
2.933333,11.859744,5.998620
3.000000,11.917884,8.417040
3.066667,11.949912,8.493540
3.133333,12.010704,5.573280
3.200000,11.929920,8.118180
3.266667,11.961132,7.668360
3.333333,11.979696,4.985760
3.400000,11.998056,7.810140
3.466667,12.054564,7.766280
3.533333,12.048240,3.733200
3.600000,12.193692,7.634700
3.666667,12.330168,7.657140
3.733333,12.494796,3.166080
3.800000,12.619440,7.392960
3.866667,12.770808,6.414780
3.933333,12.908712,3.260940
4.000000,13.059060,6.316860
4.066667,13.217772,6.720780
4.133333,13.224912,2.972280
4.200000,13.344864,7.229760
4.266667,13.326096,5.387640
4.333333,13.304472,2.503080
4.400000,13.427891,3.767880
4.466667,13.576200,4.053480
4.533333,13.642909,2.067540
4.600000,13.454819,4.002480
4.666667,13.568040,3.972900
4.733333,13.662083,2.271540
4.800000,13.777752,4.748100
4.866667,13.906272,4.741980
4.933333,13.936464,3.197700
5.000000,13.992157,6.159780
5.066667,13.962576,5.840520
5.133333,13.986648,2.878440
5.200000,14.043971,6.620820
5.266667,14.086813,6.764640
5.333333,14.106600,3.892320
5.400000,14.092115,6.503520
5.466667,14.308152,7.704060
5.533333,14.461763,4.239120
5.600000,14.793672,8.932140
5.666667,15.243696,10.793640
5.733333,15.441984,5.958840
5.800000,15.961368,11.356680
5.866667,16.328365,12.262440
5.933333,16.572960,6.584100
6.000000,16.929347,12.889740
6.066667,17.138653,12.674520
6.133333,17.185981,8.299740
6.200000,17.387736,14.626800
6.266667,17.052768,14.909340
6.333333,17.136611,8.360940
6.400000,17.265744,13.752660
6.466667,17.411400,13.293660
6.533333,17.551139,8.662860
6.600000,17.624784,13.583340
6.666667,17.728416,13.164120
6.733333,17.987496,8.523120
6.800000,18.144576,13.041720
6.866667,18.228829,13.423200
6.933333,18.344701,8.443560
7.000000,18.323485,13.680240
7.066667,18.332867,14.030100
7.133333,18.331032,8.758740
7.200000,18.243720,14.122920
7.266667,18.529320,15.362220
7.333333,18.806557,9.079020
7.400000,19.114392,14.997060
7.466667,19.530755,15.034800
7.533333,19.680493,8.981100
7.600000,20.057280,14.963400
7.666667,20.240472,16.146600
7.733333,20.400611,9.648180
7.800000,20.515667,17.556240
7.866667,20.598288,17.608260
7.933333,20.636435,11.418900
8.000000,20.728643,17.259420
8.066667,20.718035,17.527680
8.133333,20.729869,10.726320
8.200000,20.762099,18.041760
8.266666,20.808408,18.033600
8.333333,20.863080,10.520280
8.400000,20.885725,17.790840
8.466666,21.042803,18.162120
8.533334,21.138685,11.355660
8.600000,21.281280,18.166200
8.666667,21.368797,17.494020
8.733334,21.370019,10.290780
8.800000,21.416736,16.819800
8.866667,21.450600,16.618860
8.933333,21.477120,9.063720
9.000000,21.567288,16.172100
9.066667,21.538320,14.443200
9.133333,21.604211,7.690800
9.200000,21.621757,14.081100
9.266666,21.719064,14.125980
9.333333,21.766800,6.853380
9.400000,21.664800,13.244700
9.466666,21.723757,11.012940
9.533334,21.760477,5.388660
9.600000,21.554232,10.069440
9.666667,21.605232,8.913780
9.733334,21.697235,4.404360
9.800000,21.785363,9.347280
9.866667,21.713965,8.922960
9.933333,21.635219,4.343160
10.000000,21.535872,7.715280
10.066667,21.303720,7.704060
10.133333,21.299843,4.173840
10.200000,21.153168,8.318100
10.266666,21.000984,7.248120
10.333333,20.970179,3.584280
10.400000,20.737824,7.537800
10.466666,20.654387,7.265460
10.533334,20.584621,2.641800
10.600000,20.605427,6.073080
10.666667,20.554429,6.495360
10.733334,20.536883,2.721360
10.800000,20.437128,6.738120
10.866667,20.276989,6.077160
10.933333,20.253325,2.589780
11.000000,20.224355,4.595100
11.066667,20.212931,5.223420
11.133333,20.192941,2.365380
11.200000,20.085432,5.186700
11.266666,19.560541,5.688540
11.333333,19.558499,2.429640
11.400000,19.526064,5.187720
11.466666,19.445280,4.440060
11.533334,19.454867,1.663620
11.600000,19.442424,4.100400
11.666667,19.395709,4.025940
11.733334,19.401421,1.289280
11.800000,19.271267,3.849480
11.866667,19.205376,3.679140
11.933333,19.246787,0.820080
12.000000,19.299011,3.241560
12.066667,19.255357,3.173220
12.133333,19.275144,0.722160
12.200000,19.350216,3.194640
12.266666,19.351645,2.882520
12.333333,19.322675,0.933300
12.400000,19.216189,2.153220
12.466666,19.183549,2.036940
12.533334,19.223123,0.341700
12.600000,19.272493,1.226040
12.666667,19.278611,1.497360
12.733334,19.284733,0.562020
12.800000,19.200685,1.136280
12.866667,19.196400,0.837420
12.933333,19.256173,0.753780
13.000000,19.229040,0.820080
13.066667,19.307376,0.723180
13.133333,19.288403,0.493680
13.200000,19.312272,1.192380
13.266666,19.347768,1.282140
13.333333,19.393464,0.460020
13.400000,19.438344,1.416780
13.466666,19.504440,0.857820
13.533334,19.519741,0.175440
13.600000,19.596445,0.604860
13.666667,19.524840,1.169940
13.733334,19.515456,0.349860
13.800000,19.544832,1.042440
13.866667,19.493424,0.781320
13.933333,19.515864,0.219300
14.000000,19.620109,0.504900
14.066667,19.644792,0.480420
14.133333,19.576861,0.334560
14.200000,19.497504,1.004700
14.266666,19.502808,0.953700
14.333333,19.443648,0.374340
14.400000,19.409171,0.871080
14.466666,19.425901,0.226440
14.533334,19.449360,0.000000
14.600000,19.180691,0.487560
14.666667,19.172941,0.298860
14.733334,19.224960,0.178500
14.800000,19.122144,0.892500
14.866667,19.136016,0.414120
14.933333,19.141933,0.039780
15.000000,19.131325,0.009180
15.066667,19.091136,0.071400
15.133333,19.137443,0.006120
15.200000,19.135405,0.396780
15.266666,19.095624,0.743580
15.333333,19.103171,0.281520
15.400000,19.117656,0.569160
15.466666,19.215779,0.715020
15.533334,19.299421,0.384540
15.600000,19.462824,1.327020
15.666667,19.343280,1.297440
15.733334,19.285344,0.762960
15.800000,19.168451,1.721760
15.866667,18.945888,1.794180
15.933333,18.827568,0.715020
16.000000,18.725976,1.596300
16.066668,18.737603,2.196060
16.133333,18.737197,1.609560
16.200001,18.846744,2.274600
16.266666,18.608064,2.413320
16.333334,18.660899,1.205640
16.400000,18.717408,1.966560
16.466667,18.777181,1.963500
16.533333,18.724957,0.986340
16.600000,18.699864,1.198500
16.666666,18.677219,0.834360
16.733334,18.660696,0.434520
16.799999,18.673344,0.881280
16.866667,18.683952,0.672180
16.933332,18.681709,0.195840
17.000000,18.768205,0.687480
17.066668,18.767592,0.637500
17.133333,18.779219,0.204000
17.200001,18.779219,0.485520
17.266666,18.816552,0.353940
17.333334,18.871224,0.119340
17.400000,18.882240,0.192780
17.466667,18.896317,0.211140
17.533333,18.877549,0.000000
17.600000,18.872653,0.583440
17.666666,18.826752,0.568140
17.733334,18.836952,0.094860
17.799999,18.848989,0.673200
17.866667,18.842867,0.506940
17.933332,18.582973,0.216240
18.000000,18.590317,0.394740
18.066668,18.602147,0.384540
18.133333,18.619283,0.061200
18.200001,18.650904,0.609960
18.266666,18.703331,1.077120
18.333334,18.725568,0.572220
18.400000,18.659064,1.380060
18.466667,18.577872,1.331100
18.533333,18.504024,0.517140
18.600000,18.673752,1.594260
18.666666,18.928344,2.168520
18.733334,18.965064,1.981860
18.799999,19.088483,3.433320
18.866667,19.227203,3.719940
18.933332,19.355928,2.304180
19.000000,19.624392,3.597540
19.066668,19.893469,3.788280
19.133333,19.933248,2.409240
19.200001,20.148877,3.052860
19.266666,20.177640,3.516960
19.333334,20.106851,1.981860
19.400000,19.916112,2.780520
19.466667,19.699872,2.533680
19.533333,19.595832,1.442280
19.600000,19.173144,2.325600
19.666666,18.988320,1.896180
19.733334,18.882648,0.891480
